LOCATION,DATE_YEAR,DATE_MONTH,DATE_DAY,AGE_MIN,AGE_MAX,FRACTION,NOTES
AFRO:NIGERIA:EKITI,2018,3,13,0.75,5,1,
AFRO:NIGERIA:LAGOS,2018,3,27,0.75,5,1,
AFRO:NIGERIA:OGUN,2018,3,13,0.75,5,1,
AFRO:NIGERIA:ONDO,2018,3,20,0.75,5,1,
AFRO:NIGERIA:OSUN,2018,3,13,0.75,5,1,
AFRO:NIGERIA:OYO,2018,3,27,0.75,5,1,
AFRO:NIGERIA:BORNO:MAIDUGURI,2019,3,25,0.5,10,0.5,8 of 15 admin3
AFRO:NIGERIA:ABIA,2019,11,19,1,2,1,
AFRO:NIGERIA:ANAMBRA,2019,11,19,1,2,1,
AFRO:NIGERIA:EBONYI,2019,11,19,1,2,1,
AFRO:NIGERIA:ENUGU,2019,11,19,1,2,1,
AFRO:NIGERIA:IMO,2019,11,19,1,2,1,
AFRO:NIGERIA:AKWA_IBOM,2019,11,19,1,2,1,
AFRO:NIGERIA:BAYELSA,2019,11,19,1,2,1,
AFRO:NIGERIA:CROSS_RIVER,2019,11,19,1,2,1,
AFRO:NIGERIA:DELTA,2019,11,19,1,2,1,
AFRO:NIGERIA:EDO,2019,11,19,1,2,1,
AFRO:NIGERIA:RIVERS,2019,11,19,1,2,1,
AFRO:NIGERIA:EKITI,2019,11,19,1,2,1,
AFRO:NIGERIA:LAGOS,2019,11,19,1,2,1,
AFRO:NIGERIA:OGUN,2019,11,19,1,2,1,
AFRO:NIGERIA:ONDO,2019,11,19,1,2,1,
AFRO:NIGERIA:OSUN,2019,11,19,1,2,1,
AFRO:NIGERIA:OYO,2019,11,19,1,2,1,
AFRO:NIGERIA:ADAMAWA,2019,11,21,0.75,5,1,
AFRO:NIGERIA:BAUCHI,2019,12,13,0.75,5,1,
AFRO:NIGERIA:BENUE,2019,11,21,0.75,5,1,
AFRO:NIGERIA:BORNO,2019,11,21,0.75,5,1,
AFRO:NIGERIA:FCT_ABUJA,2019,11,21,0.75,5,1,
AFRO:NIGERIA:GOMBE,2019,11,21,0.75,5,1,
AFRO:NIGERIA:JIGAWA,2019,11,21,0.75,5,1,
AFRO:NIGERIA:KADUNA,2019,11,21,0.75,5,1,
AFRO:NIGERIA:KANO,2019,12,11,0.75,5,1,
AFRO:NIGERIA:KATSINA,2019,12,5,0.75,5,1,
AFRO:NIGERIA:KEBBI,2019,11,21,0.75,5,1,
AFRO:NIGERIA:KWARA,2019,11,21,0.75,5,1,
AFRO:NIGERIA:NASARAWA,2019,12,5,0.75,5,1,
AFRO:NIGERIA:PLATEAU,2019,11,21,0.75,5,1,
AFRO:NIGERIA:SOKOTO,2019,11,25,0.75,5,1,
AFRO:NIGERIA:TARABA,2019,11,21,0.75,5,1,
AFRO:NIGERIA:YOBE,2019,11,21,0.75,5,1,
AFRO:NIGERIA:ZAMFARA,2019,11,21,0.75,5,1,
AFRO:NIGERIA:NIGER,2020,10,27,0.75,5,1,
AFRO:NIGERIA:KOGI,2020,10,21,0.75,5,1,
AFRO:NIGERIA:ABIA,2021,11,24,0.75,5,1,
AFRO:NIGERIA:BAYELSA,2021,11,27,0.75,5,1,
AFRO:NIGERIA:BORNO,2021,11,20,0.75,5,1,
AFRO:NIGERIA:EBONYI,2021,12,4,0.75,5,1,
AFRO:NIGERIA:IMO,2021,11,24,0.75,5,1,
AFRO:NIGERIA:KADUNA,2021,11,18,0.75,5,1,
AFRO:NIGERIA:KANO,2021,11,21,0.75,5,1,
AFRO:NIGERIA:KATSINA,2021,11,16,0.75,5,1,
AFRO:NIGERIA:KEBBI,2021,11,27,0.75,5,1,
AFRO:NIGERIA:KWARA,2021,12,11,0.75,5,1,
AFRO:NIGERIA:SOKOTO,2021,11,27,0.75,5,1,
AFRO:NIGERIA:TARABA,2021,11,18,0.75,5,1,
AFRO:NIGERIA:YOBE,2021,11,18,0.75,5,1,
AFRO:NIGERIA:OGUN,2022,6,1,0.75,5,1,
AFRO:NIGERIA:GOMBE,2022,6,17,0.75,5,1,
AFRO:NIGERIA:LAGOS,2022,6,17,0.75,5,1,
AFRO:NIGERIA:ONDO,2022,11,12,0.75,5,1,
AFRO:NIGERIA:CROSS_RIVER,2022,11,12,0.75,5,1,
AFRO:NIGERIA:BAUCHI,2022,11,20,0.75,5,1,
AFRO:NIGERIA:FCT_ABUJA,2022,11,20,0.75,5,1,
AFRO:NIGERIA:PLATEAU,2022,11,20,0.75,5,1,
AFRO:NIGERIA:OYO,2022,11,22,0.75,5,1,
AFRO:NIGERIA:NASARAWA,2022,11,23,0.75,5,1,
AFRO:NIGERIA:ANAMBRA,2022,11,25,0.75,5,1,
AFRO:NIGERIA:OSUN,2022,11,26,0.75,5,1,
AFRO:NIGERIA:ENUGU,2022,11,28,0.75,5,1,
AFRO:NIGERIA:BENUE,2022,11,28,0.75,5,1,
AFRO:NIGERIA:EKITI,2022,12,1,0.75,5,1,
AFRO:NIGERIA:ADAMAWA,2022,12,3,0.75,5,1,
AFRO:NIGERIA:RIVERS,2022,12,4,0.75,5,1,
AFRO:NIGERIA:AKWA_IBOM,2022,12,4,0.75,5,1,
AFRO:NIGERIA:NIGER,2022,12,4,0.75,5,1,
AFRO:NIGERIA:ZAMFARA,2022,12,5,0.75,5,1,
AFRO:NIGERIA:EDO,2022,12,8,0.75,5,1,
AFRO:NIGERIA:DELTA,2022,12,10,0.75,5,1,
AFRO:NIGERIA:JIGAWA,2022,12,11,0.75,5,1,
