4,Medium variant,WORLD,,900,World,0,2035,681211.4940 ,672731.5170 ,669455.4690 ,667782.9780 ,656023.7620 ,632168.4320 ,601819.0980 ,584794.8580 ,577629.8520 ,582587.4020 ,516676.2020 ,458620.8390 ,431475.6300 ,380604.6790 ,302372.8000 ,217237.4290 ,144897.8220 ,72311.5860 ,27483.0780 ,8147.1800 ,1492.1220 
5,Medium variant,WORLD,,900,World,0,2040,685644.7900 ,676879.3320 ,670456.7460 ,667239.7400 ,665001.5460 ,653150.5530 ,628446.3330 ,596406.0320 ,577753.4290 ,568748.4220 ,570435.7150 ,500641.8610 ,437525.5260 ,401928.1240 ,340463.4810 ,253065.0320 ,163969.9620 ,92883.8350 ,36586.1940 ,9737.2560 ,1883.4730 
6,Medium variant,WORLD,,900,World,0,2045,689531.0420 ,681644.2410 ,674743.9790 ,668363.1820 ,664528.4400 ,662153.5660 ,649500.6810 ,623131.8110 ,589556.2030 ,569188.0190 ,557105.5670 ,553818.1230 ,478518.5330 ,408299.1180 ,361127.5490 ,287229.0960 ,193296.6510 ,106863.9060 ,47540.1410 ,13342.1410 ,2321.2830 
7,Medium variant,WORLD,,900,World,0,2050,690175.9940 ,685840.7010 ,679642.1060 ,672763.2440 ,665733.6040 ,661719.6130 ,658603.3240 ,644320.3230 ,616365.2000 ,581149.8090 ,557893.6650 ,541187.0290 ,530787.1340 ,447799.7080 ,367974.5830 ,306710.8290 ,221726.7770 ,127934.6220 ,55851.6190 ,17659.4490 ,3194.5670 
8,Medium variant,WORLD,,900,World,0,2055,688031.8770 ,686781.5250 ,683966.7580 ,677768.4150 ,670267.0240 ,663072.8740 ,658338.4960 ,653600.1920 ,637660.4950 ,607963.1360 ,569976.5010 ,542393.9270 ,519123.1890 ,498526.6400 ,405162.8900 ,314022.2970 ,238931.4820 ,148740.4430 ,68162.8020 ,21251.3970 ,4356.3860 
9,Medium variant,WORLD,,900,World,0,2060,683565.5820 ,684906.0520 ,685032.1310 ,682197.3340 ,675402.9290 ,667745.8770 ,659846.0360 ,653529.4410 ,647139.5870 ,629374.3890 ,596782.8680 ,554641.2400 ,520908.6170 ,488240.2210 ,453329.9930 ,347682.4980 ,246218.5090 ,162292.9970 ,80622.5930 ,26556.0770 ,5454.7120 
10,Medium variant,WORLD,,900,World,0,2065,678936.7270 ,680691.3260 ,683272.1630 ,683364.3550 ,679958.6970 ,673021.4530 ,664663.8460 ,655214.4060 ,647293.3580 ,639086.6220 ,618335.1530 ,581423.7770 ,533358.0410 ,490735.9030 ,444912.2440 ,391683.4800 ,274607.9610 ,168728.2060 ,89479.4180 ,32141.0810 ,6971.0980 
11,Medium variant,WORLD,,900,World,0,2070,673638.8910 ,676293.4780 ,679168.1790 ,681700.5880 ,681253.9660 ,677717.0840 ,670088.3490 ,660203.5980 ,649188.7470 ,639514.6500 ,628348.4510 ,603166.1910 ,560073.2010 ,503365.2010 ,448220.9320 ,385683.5750 ,312192.6430 ,190002.8110 ,94193.9770 ,36494.8210 ,8730.1680 
12,Medium variant,WORLD,,900,World,0,2075,668180.4540 ,671204.5830 ,674871.1100 ,677688.5290 ,679712.6140 ,679156.2560 ,674936.0260 ,665802.6440 ,654379.9600 ,641668.1190 ,629140.0330 ,613584.8560 ,582039.8990 ,529851.1340 ,460916.1280 ,389827.3760 ,308872.0730 ,218598.5830 ,107440.9930 ,39098.2550 ,10318.5700 
13,Medium variant,WORLD,,900,World,0,2080,661953.1170 ,665941.2810 ,669877.3340 ,673477.6580 ,675821.8620 ,677755.5040 ,676535.2330 ,670831.4720 ,660189.9910 ,647108.6230 ,631637.2300 ,614877.1050 ,592989.9420 ,551984.4380 ,486836.0800 ,402286.0920 ,313589.4520 ,217828.5250 ,125518.0020 ,45390.4330 ,11475.0800 
14,Medium variant,WORLD,,900,World,0,2085,653765.5310 ,659893.0770 ,664702.2720 ,668564.9650 ,671724.3970 ,674005.2510 ,675291.8410 ,672619.5580 ,665434.7490 ,653175.5930 ,637401.9340 ,617841.0160 ,594961.5760 ,563544.0790 ,508940.4550 ,426964.3100 ,325169.7560 ,222593.9570 ,126527.5460 ,54092.2060 ,13448.2840 
15,Medium variant,WORLD,,900,World,0,2090,644354.2820 ,651875.8910 ,658737.2770 ,663468.0020 ,666923.5750 ,670045.2120 ,671702.9870 ,671569.3980 ,667455.9870 ,658692.3980 ,643813.1520 ,624059.0230 ,598577.0040 ,566399.2150 ,521165.1320 ,448587.3210 ,347496.5370 ,232469.8880 ,130668.0990 ,55498.3510 ,16333.5720 
16,Medium variant,WORLD,,900,World,0,2095,634066.8730 ,642617.4880 ,650799.1500 ,657577.4790 ,661934.1610 ,665378.7690 ,667899.4760 ,668176.7420 ,666643.9670 ,661006.8780 ,649691.9980 ,630944.8480 ,605411.4950 ,570838.2910 ,525104.3930 ,461334.0260 ,367652.1440 ,250875.3510 ,137923.2350 ,58282.4530 ,17700.9280 
17,Medium variant,WORLD,,900,World,0,2100,623616.5970 ,632472.6150 ,641615.4030 ,649712.4360 ,656150.1790 ,660521.5360 ,663390.8030 ,664565.1400 ,663496.9910 ,660499.7970 ,652402.3390 ,637330.0160 ,612956.7170 ,578463.2640 ,530570.8800 ,466522.0330 ,380426.9970 ,268140.5930 ,150953.3310 ,62493.3560 ,19092.6960 
18,Medium variant,UN development groups,a,1803,Label/Separator,900,2020,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
19,Medium variant,UN development groups,a,1803,Label/Separator,900,2025,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
20,Medium variant,UN development groups,a,1803,Label/Separator,900,2030,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
21,Medium variant,UN development groups,a,1803,Label/Separator,900,2035,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
22,Medium variant,UN development groups,a,1803,Label/Separator,900,2040,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
23,Medium variant,UN development groups,a,1803,Label/Separator,900,2045,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
24,Medium variant,UN development groups,a,1803,Label/Separator,900,2050,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
25,Medium variant,UN development groups,a,1803,Label/Separator,900,2055,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
26,Medium variant,UN development groups,a,1803,Label/Separator,900,2060,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
27,Medium variant,UN development groups,a,1803,Label/Separator,900,2065,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
28,Medium variant,UN development groups,a,1803,Label/Separator,900,2070,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
29,Medium variant,UN development groups,a,1803,Label/Separator,900,2075,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
30,Medium variant,UN development groups,a,1803,Label/Separator,900,2080,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
31,Medium variant,UN development groups,a,1803,Label/Separator,900,2085,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
32,Medium variant,UN development groups,a,1803,Label/Separator,900,2090,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
33,Medium variant,UN development groups,a,1803,Label/Separator,900,2095,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
34,Medium variant,UN development groups,a,1803,Label/Separator,900,2100,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
35,Medium variant,More developed regions,b,901,Development Group,1803,2020,67495.0940 ,70135.5360 ,70826.3710 ,68660.0410 ,71524.0940 ,79894.1830 ,87058.6120 ,87009.3020 ,85399.8650 ,86446.0880 ,85057.6860 ,86812.2920 ,81337.5740 ,72870.8400 ,61626.1250 ,44127.1920 ,34345.5310 ,20248.2560 ,9576.9860 ,2538.6070 ,313.9860 
36,Medium variant,More developed regions,b,901,Development Group,1803,2025,65329.0360 ,67832.2400 ,70458.4450 ,71822.5040 ,70295.5130 ,73084.6910 ,81011.2850 ,87580.3410 ,86944.5970 ,84839.9710 ,85237.1590 ,83040.0220 ,83490.5960 ,76711.2030 ,66895.1550 ,54156.9080 ,35484.5520 ,23170.1240 ,10452.5190 ,3191.7150 ,475.8870 
37,Medium variant,More developed regions,b,901,Development Group,1803,2030,63692.8050 ,65686.4670 ,68172.5200 ,71504.3410 ,73571.1560 ,71977.2340 ,74319.2330 ,81635.2390 ,87567.7050 ,86413.2020 ,83718.7940 ,83326.8320 ,80177.7190 ,79132.8740 ,70808.5750 ,59011.8210 ,44109.2600 ,24734.6330 ,12207.4640 ,3612.3740 ,629.6310 
38,Medium variant,More developed regions,b,901,Development Group,1803,2035,62957.3460 ,64077.1930 ,66049.4870 ,69285.2890 ,73366.2870 ,75356.1000 ,73309.7810 ,75091.3390 ,81801.4390 ,87110.6420 ,85356.1530 ,81961.9760 ,80647.2310 ,76449.8700 ,73605.4100 ,63049.2960 ,48451.7970 ,31421.7470 ,13598.6150 ,4344.2700 ,752.8360 
39,Medium variant,More developed regions,b,901,Development Group,1803,2040,63263.1370 ,63348.2980 ,64445.6210 ,67178.6920 ,71177.3370 ,75177.8720 ,76696.1280 ,74110.3850 ,75375.1190 ,81515.0740 ,86115.2730 ,83655.1160 ,79451.2170 ,77107.8540 ,71624.2590 ,66167.6130 ,52372.6080 ,34876.4220 ,17721.0070 ,5044.3540 ,926.3300 
40,Medium variant,More developed regions,b,901,Development Group,1803,2045,63748.8940 ,63655.0600 ,63718.8520 ,65581.4430 ,69081.3460 ,73000.4750 ,76523.2950 ,77487.0560 ,74420.7530 ,75228.5070 ,80737.9460 ,84496.0860 ,81220.3380 ,76128.9030 ,72520.2080 ,65036.7360 ,55712.0080 ,38319.2010 ,19988.4960 ,6774.5750 ,1119.9660 
41,Medium variant,More developed regions,b,901,Development Group,1803,2050,63608.7020 ,64140.8620 ,64026.4790 ,64858.0090 ,67489.1300 ,70911.5810 ,74359.8890 ,77320.8760 ,77789.4780 ,74314.6610 ,74639.9720 ,79412.8650 ,82173.6140 ,77996.5260 ,71814.5850 ,66230.1350 ,55545.4690 ,41528.1110 ,22428.4940 ,7803.2390 ,1519.9540 
42,Medium variant,More developed regions,b,901,Development Group,1803,2055,62817.6710 ,64003.3950 ,64513.8710 ,65168.7020 ,66774.0170 ,69333.9240 ,72293.7260 ,75188.0560 ,77640.3100 ,77682.6490 ,73788.9620 ,73573.4290 ,77483.2370 ,79092.5990 ,73799.8440 ,65867.6810 ,57072.6860 ,42209.5220 ,24881.0940 ,8955.6690 ,1833.1740 
43,Medium variant,More developed regions,b,901,Development Group,1803,2060,61897.4360 ,63214.8280 ,64377.9240 ,65658.6030 ,67090.7010 ,68630.6700 ,70736.0960 ,73155.0920 ,75547.1620 ,77559.6940 ,77160.1570 ,72811.5960 ,71988.5700 ,74896.8060 ,75066.2020 ,67986.4770 ,57134.5510 ,43986.4490 ,25922.1490 ,10194.4190 ,2157.3820 
44,Medium variant,More developed regions,b,901,Development Group,1803,2065,61280.3010 ,62296.9180 ,63591.0310 ,65525.3460 ,67585.7080 ,68956.1130 ,70048.6680 ,71625.7810 ,73557.8020 ,75518.6980 ,77078.3180 ,76189.6940 ,71347.6820 ,69840.7520 ,71479.8400 ,69454.1490 ,59381.7880 ,44501.8630 ,27594.2800 ,10941.1750 ,2516.8630 
45,Medium variant,More developed regions,b,901,Development Group,1803,2070,61142.9410 ,61681.7460 ,62674.6480 ,64741.3770 ,67458.1740 ,69459.2960 ,70385.6030 ,70959.7850 ,72065.6270 ,73585.4680 ,75110.2830 ,76170.3070 ,74737.1380 ,69357.6570 ,66979.7190 ,66661.4590 ,61076.9090 ,46791.1920 ,28374.7690 ,12003.5590 ,2812.5600 
46,Medium variant,More developed regions,b,901,Development Group,1803,2075,61300.8470 ,61545.8080 ,62060.7040 ,63827.6230 ,66680.0630 ,69340.7090 ,70899.5780 ,71311.1850 ,71426.6840 ,72140.5620 ,73252.3160 ,74302.6460 ,74802.1220 ,72760.7060 ,66699.5180 ,62898.1080 ,59311.0700 ,48652.3770 ,30361.8950 ,12601.9190 ,3188.4520 
47,Medium variant,More developed regions,b,901,Development Group,1803,2080,61425.7540 ,61705.1820 ,61925.7270 ,63215.9030 ,65771.8800 ,68571.9370 ,70793.1410 ,71837.9760 ,71795.6940 ,71536.3140 ,71871.2590 ,72547.4130 ,73069.4480 ,72933.4920 ,70118.1810 ,62891.3710 ,56546.5910 ,48054.3640 ,32101.7440 ,13793.9520 ,3472.5350 
48,Medium variant,More developed regions,b,901,Development Group,1803,2085,61290.4910 ,61831.2810 ,62086.0230 ,63082.6440 ,65164.8450 ,67672.7320 ,70037.5680 ,71746.6410 ,72337.8700 ,71928.1560 ,71314.4370 ,71253.2450 ,71451.6510 ,71373.7790 ,70429.6970 ,66321.2940 ,56912.8460 ,46535.9530 ,32455.9090 ,14912.1320 ,3879.4260 
49,Medium variant,More developed regions,b,901,Development Group,1803,2090,60904.5300 ,61697.2800 ,62212.8170 ,63244.4470 ,65035.7020 ,67073.9030 ,69151.2310 ,71008.2340 ,72264.8040 ,72490.5740 ,71738.9960 ,70762.5700 ,70274.6770 ,69933.8640 ,69093.2700 ,66820.2910 ,60328.3370 ,47352.2040 ,32144.7100 ,15494.9280 ,4311.1130 
50,Medium variant,More developed regions,b,901,Development Group,1803,2095,60493.9990 ,61312.3440 ,62079.5160 ,63372.8320 ,65201.1520 ,66952.0840 ,68564.0860 ,70138.9150 ,71547.5010 ,72440.9990 ,72330.0320 ,71233.6550 ,69873.4430 ,68909.0130 ,67883.6410 ,65789.5950 ,61087.8880 ,50651.8940 ,33284.4370 ,15797.7030 ,4650.0470 
51,Medium variant,More developed regions,b,901,Development Group,1803,2100,60264.1610 ,60902.8970 ,61695.4880 ,63240.9830 ,65332.9140 ,67124.0630 ,68452.5950 ,69566.7060 ,70699.2350 ,71750.5440 ,72313.3850 ,71865.8210 ,70407.6900 ,68624.2910 ,67057.6720 ,64899.1290 ,60497.1080 ,51749.7790 ,36150.7380 ,16770.6810 ,4929.7400 
52,Medium variant,Less developed regions,c,902,Development Group,1803,2020,610446.6960 ,594303.9080 ,570441.0210 ,543535.9390 ,525863.5840 ,514797.9700 ,518472.1200 ,457809.4890 ,408388.9990 ,392920.0710 ,360714.9870 ,301036.8460 ,240804.0160 ,196772.8720 ,127051.2040 ,79654.5800 ,47584.6230 ,21938.0150 ,7103.0620 ,1595.0290 ,259.4370 
53,Medium variant,Less developed regions,c,902,Development Group,1803,2025,611589.6310 ,604794.6320 ,591048.2440 ,566366.8920 ,538257.7200 ,521174.9660 ,509804.6710 ,511977.8750 ,450526.4200 ,400330.3160 ,382820.0350 ,347655.5580 ,284267.6700 ,219773.8630 ,169811.3090 ,99855.5710 ,54454.0690 ,26523.6400 ,9282.8770 ,2234.9370 ,382.0940 
54,Medium variant,Less developed regions,c,902,Development Group,1803,2030,613749.5830 ,606225.8730 ,601935.0760 ,587371.0780 ,561430.2820 ,533576.2550 ,516078.8850 ,503333.0870 ,504333.1120 ,442062.2180 ,390184.5790 ,369385.2270 ,329570.3980 ,260905.0080 ,191072.2130 ,135415.0940 ,69712.9120 ,31074.9260 ,11529.0580 ,2989.1520 ,543.4760 
55,Medium variant,Less developed regions,c,902,Development Group,1803,2035,618254.1480 ,608654.3240 ,603405.9820 ,598497.6890 ,582657.4750 ,556812.3320 ,528509.3170 ,509703.5190 ,495828.4130 ,495476.7600 ,431320.0490 ,376658.8630 ,350828.3990 ,304154.8090 ,228767.3900 ,154188.1330 ,96446.0250 ,40889.8390 ,13884.4630 ,3802.9100 ,739.2860 
56,Medium variant,Less developed regions,c,902,Development Group,1803,2040,622381.6530 ,613531.0340 ,606011.1250 ,600061.0480 ,593824.2090 ,577972.6810 ,551750.2050 ,522295.6470 ,502378.3100 ,487233.3480 ,484320.4420 ,416986.7450 ,358074.3090 ,324820.2700 ,268839.2220 ,186897.4190 ,111597.3540 ,58007.4130 ,18865.1870 ,4692.9020 ,957.1430 
57,Medium variant,Less developed regions,c,902,Development Group,1803,2045,625782.1480 ,617989.1810 ,611025.1270 ,602781.7390 ,595447.0940 ,589153.0910 ,572977.3860 ,545644.7550 ,515135.4500 ,493959.5120 ,476367.6210 ,469322.0370 ,397298.1950 ,332170.2150 ,288607.3410 ,222192.3600 ,137584.6430 ,68544.7050 ,27551.6450 ,6567.5660 ,1201.3170 
58,Medium variant,Less developed regions,c,902,Development Group,1803,2050,626567.2920 ,621699.8390 ,615615.6270 ,607905.2350 ,598244.4740 ,590808.0320 ,584243.4350 ,566999.4470 ,538575.7220 ,506835.1480 ,483253.6930 ,461774.1640 ,448613.5200 ,369803.1820 ,296159.9980 ,240480.6940 ,166181.3080 ,86406.5110 ,33423.1250 ,9856.2100 ,1674.6130 
59,Medium variant,Less developed regions,c,902,Development Group,1803,2055,625214.2060 ,622778.1300 ,619452.8870 ,612599.7130 ,603493.0070 ,593738.9500 ,586044.7700 ,578412.1360 ,560020.1850 ,530280.4870 ,496187.5390 ,468820.4980 ,441639.9520 ,419434.0410 ,331363.0460 ,248154.6160 ,181858.7960 ,106530.9210 ,43281.7080 ,12295.7280 ,2523.2120 
60,Medium variant,Less developed regions,c,902,Development Group,1803,2060,621668.1460 ,621691.2240 ,620654.2070 ,616538.7310 ,608312.2280 ,599115.2070 ,589109.9400 ,580374.3490 ,571592.4250 ,551814.6950 ,519622.7110 ,481829.6440 ,448920.0470 ,413343.4150 ,378263.7910 ,279696.0210 ,189083.9580 ,118306.5480 ,54700.4440 ,16361.6580 ,3297.3300 
61,Medium variant,Less developed regions,c,902,Development Group,1803,2065,617656.4260 ,618394.4080 ,619681.1320 ,617839.0090 ,612372.9890 ,604065.3400 ,594615.1780 ,583588.6250 ,573735.5560 ,563567.9240 ,541256.8350 ,505234.0830 ,462010.3590 ,420895.1510 ,373432.4040 ,322229.3310 ,215226.1730 ,124226.3430 ,61885.1380 ,21199.9060 ,4454.2350 
62,Medium variant,Less developed regions,c,902,Development Group,1803,2070,612495.9500 ,614611.7320 ,616493.5310 ,616959.2110 ,613795.7920 ,608257.7880 ,599702.7460 ,589243.8130 ,577123.1200 ,565929.1820 ,553238.1680 ,526995.8840 ,485336.0630 ,434007.5440 ,381241.2130 ,319022.1160 ,251115.7340 ,143211.6190 ,65819.2080 ,24491.2620 ,5917.6080 
63,Medium variant,Less developed regions,c,902,Development Group,1803,2075,606879.6070 ,609658.7750 ,612810.4060 ,613860.9060 ,613032.5510 ,609815.5470 ,604036.4480 ,594491.4590 ,582953.2760 ,569527.5570 ,555887.7170 ,539282.2100 ,507237.7770 ,457090.4280 ,394216.6100 ,326929.2680 ,249561.0030 ,169946.2060 ,77079.0980 ,26496.3360 ,7130.1180 
64,Medium variant,Less developed regions,c,902,Development Group,1803,2080,600527.3630 ,604236.0990 ,607951.6070 ,610261.7550 ,610049.9820 ,609183.5670 ,605742.0920 ,598993.4960 ,588394.2970 ,575572.3090 ,559765.9710 ,542329.6920 ,519920.4940 ,479050.9460 ,416717.8990 ,339394.7210 ,257042.8610 ,169774.1610 ,93416.2580 ,31596.4810 ,8002.5450 
65,Medium variant,Less developed regions,c,902,Development Group,1803,2085,592475.0400 ,598061.7960 ,602616.2490 ,605482.3210 ,606559.5520 ,606332.5190 ,605254.2730 ,600872.9170 ,593096.8790 ,581247.4370 ,566087.4970 ,546587.7710 ,523509.9250 ,492170.3000 ,438510.7580 ,360643.0160 ,268256.9100 ,176058.0040 ,94071.6370 ,39180.0740 ,9568.8580 
66,Medium variant,Less developed regions,c,902,Development Group,1803,2090,583449.7520 ,590178.6110 ,596524.4600 ,600223.5550 ,601887.8730 ,602971.3090 ,602551.7560 ,600561.1640 ,595191.1830 ,586201.8240 ,572074.1560 ,553296.4530 ,528302.3270 ,496465.3510 ,452071.8620 ,381767.0300 ,287168.2000 ,185117.6840 ,98523.3890 ,40003.4230 ,12022.4590 
67,Medium variant,Less developed regions,c,902,Development Group,1803,2095,573572.8740 ,581305.1440 ,588719.6340 ,594204.6470 ,596733.0090 ,598426.6850 ,599335.3900 ,598037.8270 ,595096.4660 ,588565.8790 ,577361.9660 ,559711.1930 ,535538.0520 ,501929.2780 ,457220.7520 ,395544.4310 ,306564.2560 ,200223.4570 ,104638.7980 ,42484.7500 ,13050.8810 
68,Medium variant,Less developed regions,c,902,Development Group,1803,2100,563352.4360 ,571569.7180 ,579919.9150 ,586471.4530 ,590817.2650 ,593397.4730 ,594938.2080 ,594998.4340 ,592797.7560 ,588749.2530 ,580088.9540 ,565464.1950 ,542549.0270 ,509838.9730 ,463513.2080 ,401622.9040 ,319929.8890 ,216390.8140 ,114802.5930 ,45722.6750 ,14162.9560 
69,Medium variant,Least developed countries,d,941,Development Group,902,2020,149155.4240 ,136399.9010 ,124902.7180 ,112499.6910 ,98970.5530 ,85441.0750 ,72384.3850 ,62227.7210 ,51093.5940 ,42351.7320 ,34906.0340 ,28055.8320 ,21085.7150 ,15160.8390 ,10703.3150 ,6810.5590 ,3474.5780 ,1373.6690 ,367.2720 ,65.5570 ,7.9990 
70,Medium variant,Least developed countries,d,941,Development Group,902,2025,159148.4380 ,146611.6370 ,135228.8340 ,123498.4890 ,110520.3340 ,97096.3730 ,83834.5540 ,70929.0710 ,60812.1930 ,49611.4160 ,40740.1740 ,33099.2690 ,25892.0050 ,18607.0140 ,12448.6400 ,7866.2990 ,4199.1440 ,1650.4930 ,473.1390 ,94.7040 ,14.3650 
71,Medium variant,Least developed countries,d,941,Development Group,902,2030,168655.7150 ,156831.6000 ,145530.4750 ,133897.5510 ,121631.6850 ,108711.7250 ,95421.4710 ,82191.4480 ,69319.6690 ,59097.3550 ,47785.3140 ,38701.2580 ,30665.4810 ,23001.5990 ,15423.3050 ,9215.2080 ,4907.2480 ,2036.6940 ,585.9210 ,126.0160 ,22.1440 
72,Medium variant,Least developed countries,d,941,Development Group,902,2035,177371.1890 ,166511.9200 ,155808.8470 ,144241.0940 ,132065.1080 ,119804.1170 ,106960.0520 ,93677.6420 ,80448.1440 ,67483.8250 ,57064.1020 ,45522.3340 ,35993.9340 ,27413.6210 ,19257.3150 ,11586.1240 ,5800.4340 ,2416.2130 ,741.0200 ,160.5280 ,30.4960 
73,Medium variant,Least developed countries,d,941,Development Group,902,2040,185059.9570 ,175379.2790 ,165545.0930 ,154561.9000 ,142443.3300 ,130250.2830 ,118031.2810 ,105163.7690 ,91844.2290 ,78469.4850 ,65293.8020 ,54521.8260 ,42503.1270 ,32341.3870 ,23145.8990 ,14681.7750 ,7466.1030 ,2883.0420 ,891.2240 ,207.0600 ,39.6630 
74,Medium variant,Least developed countries,d,941,Development Group,902,2045,192083.1220 ,183209.9280 ,174459.1130 ,164324.9080 ,152779.1980 ,140631.5420 ,128461.1080 ,116184.1270 ,103237.7150 ,89726.3720 ,76066.5400 ,62517.8530 ,51093.6160 ,38389.2640 ,27495.1160 ,17858.1420 ,9679.7240 ,3846.2030 ,1067.9340 ,249.8520 ,51.2720 
75,Medium variant,Least developed countries,d,941,Development Group,902,2050,198175.0820 ,190368.1990 ,182336.4660 ,173266.0440 ,162556.2670 ,150968.7440 ,138833.4060 ,126582.3170 ,114179.3960 ,100985.7070 ,87121.0410 ,72988.3960 ,58756.7430 ,46379.4230 ,32878.6680 ,21422.2240 ,11980.8740 ,5161.5620 ,1499.0790 ,296.2760 ,61.8670 
76,Medium variant,Least developed countries,d,941,Development Group,902,2055,203431.5920 ,196588.2920 ,189539.0380 ,181169.8040 ,171509.8480 ,160744.3420 ,149159.0940 ,136930.8230 ,124521.5340 ,111811.6580 ,98183.5750 ,83755.7370 ,68796.7110 ,53551.3330 ,40007.4620 ,25895.0560 ,14572.0580 ,6546.8940 ,2109.5290 ,441.5860 ,71.7360 
77,Medium variant,Least developed countries,d,941,Development Group,902,2060,207955.7850 ,201959.9040 ,195801.7550 ,188398.3870 ,179430.3800 ,169701.5300 ,158925.9190 ,147235.2720 ,134827.6340 ,122068.8570 ,108838.6530 ,94538.8520 ,79158.3950 ,62955.6640 ,46463.2760 ,31838.5350 ,17895.4040 ,8112.9950 ,2759.2360 ,656.0610 ,105.6940 
78,Medium variant,Least developed countries,d,941,Development Group,902,2065,211712.0540 ,206591.2220 ,201213.8700 ,194688.0050 ,186678.7070 ,177633.7900 ,167882.8800 ,156987.8020 ,145096.7040 ,132309.0880 ,118967.0920 ,104950.5990 ,89548.0020 ,72715.2370 ,54939.9510 ,37286.0290 ,22330.0560 ,10183.8520 ,3492.0200 ,884.2790 ,162.3010 
