AFRO:GHANA:AHAFO:ASUNAFO_NORTH_MUNICIPAL
AFRO:GHANA:VOLTA:KPANDO_MUNICIPAL
AFRO:GHANA:VOLTA:NORTH_DAYI
AFRO:GHANA:VOLTA:NORTH_TONGU
AFRO:GHANA:VOLTA:SOUTH_DAYI
AFRO:GHANA:VOLTA:SOUTH_TONGU
AFRO:GHANA:WESTERN:AHANTA_WEST_MUNICIPAL
AFRO:GHANA:WESTERN:EFFIA_KWESIMINTSIM_MUNICIPAL
AFRO:GHANA:WESTERN:ELLEMBELLE
AFRO:GHANA:WESTERN:JOMORO
AFRO:GHANA:WESTERN:MPOHOR
AFRO:GHANA:WESTERN:NZEMA_EAST
AFRO:GHANA:WESTERN:PRESTEA_HUNI_VALLEY
AFRO:GHANA:WESTERN:SEKONDI_TAKORADI_METROPOLIS
AFRO:GHANA:WESTERN:SHAMA
AFRO:GHANA:WESTERN:TARKWA_NSUAEM
AFRO:GHANA:WESTERN:WASSA_AMENFI_CENTRAL
AFRO:GHANA:WESTERN:WASSA_AMENFI_EAST
AFRO:GHANA:WESTERN:WASSA_AMENFI_WEST
AFRO:GHANA:WESTERN:WASSA_EAST
AFRO:GHANA:WESTERN_NORTH:AOWIN
AFRO:GHANA:WESTERN_NORTH:BIA_EAST
AFRO:GHANA:WESTERN_NORTH:BIA_WEST
AFRO:GHANA:WESTERN_NORTH:BIBIANI_ANHWIASO_BEKWAI_MUNICIPAL
AFRO:GHANA:WESTERN_NORTH:BODI
AFRO:GHANA:WESTERN_NORTH:JUABOSO
AFRO:GHANA:WESTERN_NORTH:SEFWI_AKONTOMBRA
AFRO:GHANA:WESTERN_NORTH:SEFWI_WIAWSO
AFRO:GHANA:WESTERN_NORTH:SUAMAN
